transaction_id,customer_id,product_id,quantity,price,transaction_date
1,1,101,2,19.99,05/01/2023
2,2,102,1,29.99,05/01/2023
3,3,103,3,9.99,07/01/2023
4,4,104,2,14.99,09/01/2023
5,5,105,1,39.99,10/01/2023
6,6,101,2,19.99,05/01/2023
2,2,102,1,29.99,05/01/2023
8,8,103,2,,12/01/2023
9,9,104,1,14.99,01/15/2023
10,10,105,3,39.99,16/01/2023
11,11,101,,19.99,17/01/2023
12,12,102,2,29.99,15/01/2023
13,13,103,1,9.99,2023.01.18
14,14,104,2,14.99,19/01/2023
15,15,105,1,39.99,20/01/2023
16,16,106,1,,21/01/2023
17,17,107,2,12.99,22/01/2023
18,18,108,1,49.99,22/01/2023
19,19,109,1,59.99,23/01/2023
20,20,110,1,99.99,24/01/2023
21,21,111,2,15.99,25/01/2023
22,22,112,3,22.99,26/01/2023
23,23,113,4,7.99,27/01/2023
24,24,114,1,,28/01/2023
25,25,115,1,79.99,29/01/2023
26,26,101,2,19.99,30/01/2023
27,27,102,1,29.99,30/01/2023
28,28,103,3,9.99,2023.01.31
29,29,104,2,14.99,01/02/2023
30,30,105,1,39.99,02/02/2023
31,1,106,1,,03/02/2023
32,2,107,2,12.99,04/02/2023
33,3,108,1,49.99,04/02/2023
34,4,109,3,59.99,05/02/2023
35,5,110,1,99.99,06/02/2023
36,6,111,2,15.99,07/02/2023
37,7,112,1,22.99,08/02/2023
38,8,113,4,7.99,08/02/2023
39,9,114,1,,09/02/2023
40,10,115,1,79.99,10/02/2023
41,11,116,2,129.99,11/02/2023
42,12,117,1,19.99,12/02/2023
43,13,118,2,24.99,13/02/2023
44,14,105,1,39.99,14/02/2023
45,15,104,2,14.99,15/02/2023
